mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-0.215,0.947,-1.857,1.66,0.025,0.015,1452.0,2114.0,1.0
0.116,0.934,-1.595,1.861,0.025,0.016,1443.0,1969.0,1.0
-0.062,0.935,-1.789,1.636,0.028,0.015,1116.0,1797.0,1.0
0.027,0.946,-1.794,1.751,0.026,0.017,1314.0,1670.0,1.01
0.068,0.911,-1.569,1.912,0.025,0.017,1293.0,1350.0,1.0
0.166,0.864,-1.399,1.86,0.027,0.016,1038.0,1744.0,1.0
-0.092,0.868,-1.631,1.678,0.03,0.021,890.0,1152.0,1.01
-0.013,0.923,-1.826,1.663,0.032,0.019,811.0,1367.0,1.0
-0.074,0.886,-1.741,1.576,0.023,0.014,1509.0,2170.0,1.0
-0.054,0.91,-1.841,1.623,0.026,0.017,1265.0,1731.0,1.0
-0.108,0.871,-1.762,1.489,0.023,0.014,1449.0,2511.0,1.0
0.866,0.213,0.536,1.286,0.016,0.009,176.0,452.0,1.01
0.0,0.0,0.0,0.0,0.0,0.0,1022.0,793.0,1.01
0.0,0.0,0.0,0.0,0.0,0.0,1096.0,742.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1006.0,811.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,710.0,397.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,709.0,398.0,1.01
0.0,0.0,0.0,0.0,0.0,0.0,1134.0,845.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,785.0,669.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1032.0,695.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,612.0,440.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,476.0,422.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1462.0,1082.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,924.0,684.0,1.01
0.001,0.001,0.0,0.001,0.0,0.0,819.0,649.0,1.0
0.001,0.001,0.0,0.002,0.0,0.0,707.0,636.0,1.0
0.001,0.0,0.0,0.001,0.0,0.0,776.0,728.0,1.0
0.001,0.0,0.0,0.001,0.0,0.0,807.0,853.0,1.0
0.001,0.0,0.0,0.001,0.0,0.0,836.0,842.0,1.0
0.001,0.0,0.0,0.001,0.0,0.0,669.0,600.0,1.0
0.013,0.001,0.011,0.015,0.0,0.0,1347.0,1507.0,1.0
0.008,0.001,0.007,0.009,0.0,0.0,1261.0,2044.0,1.0
0.009,0.001,0.008,0.011,0.0,0.0,1447.0,2102.0,1.0
0.016,0.001,0.014,0.018,0.0,0.0,1465.0,2088.0,1.0
0.009,0.001,0.007,0.01,0.0,0.0,1126.0,1466.0,1.01
0.016,0.001,0.014,0.019,0.0,0.0,1228.0,1732.0,1.0
0.008,0.001,0.007,0.009,0.0,0.0,977.0,1831.0,1.0
0.011,0.001,0.01,0.013,0.0,0.0,1246.0,1991.0,1.0
0.018,0.0,0.017,0.019,0.0,0.0,954.0,1662.0,1.0
0.135,0.029,0.079,0.188,0.002,0.001,300.0,683.0,1.01
-3.774,0.344,-4.447,-3.145,0.011,0.006,1072.0,1765.0,1.0
-0.647,0.287,-1.176,-0.095,0.008,0.005,1204.0,2008.0,1.0
0.91,0.203,0.533,1.287,0.005,0.003,1398.0,2071.0,1.0
0.016,0.069,-0.111,0.145,0.002,0.001,1352.0,1652.0,1.0
0.113,0.098,-0.059,0.307,0.003,0.002,1225.0,1827.0,1.0
0.1,0.091,-0.064,0.28,0.003,0.002,1253.0,1721.0,1.0
0.232,0.127,-0.011,0.467,0.004,0.002,968.0,1716.0,1.0
0.002,0.06,-0.104,0.118,0.002,0.001,1202.0,1939.0,1.0
-0.143,0.123,-0.372,0.081,0.003,0.002,1388.0,2513.0,1.0
1.311,0.16,1.012,1.607,0.005,0.003,973.0,1825.0,1.0
-0.001,0.068,-0.126,0.13,0.002,0.001,1254.0,2161.0,1.0
-0.24,0.169,-0.563,0.073,0.005,0.003,1266.0,1581.0,1.0
-1.792,0.169,-2.084,-1.448,0.005,0.003,1056.0,1729.0,1.0
0.003,0.064,-0.12,0.12,0.002,0.001,1108.0,1639.0,1.0
0.054,0.096,-0.133,0.229,0.003,0.002,1203.0,2165.0,1.0
0.664,0.141,0.414,0.938,0.004,0.002,1191.0,1568.0,1.0
0.084,0.103,-0.112,0.273,0.003,0.002,1098.0,2138.0,1.0
0.009,0.066,-0.121,0.129,0.002,0.001,1375.0,1868.0,1.0
2.499,0.226,2.093,2.929,0.007,0.004,913.0,1724.0,1.0
0.797,0.307,0.205,1.347,0.009,0.006,1078.0,1740.0,1.0
-3.69,0.235,-4.111,-3.232,0.008,0.004,941.0,1816.0,1.0
-0.049,0.099,-0.231,0.138,0.003,0.002,1324.0,2071.0,1.0
-0.391,0.151,-0.67,-0.107,0.006,0.003,556.0,1173.0,1.01
0.038,0.069,-0.087,0.171,0.002,0.001,1069.0,1882.0,1.0
1.239,0.118,1.03,1.47,0.007,0.003,325.0,859.0,1.01
-0.008,0.002,-0.011,-0.004,0.0,0.0,284.0,609.0,1.01
0.014,0.001,0.011,0.016,0.0,0.0,397.0,1133.0,1.01
0.004,0.001,0.003,0.006,0.0,0.0,1259.0,2244.0,1.0
-0.012,0.001,-0.014,-0.011,0.0,0.0,427.0,985.0,1.01
-0.003,0.001,-0.004,-0.001,0.0,0.0,1031.0,2103.0,1.0
0.007,0.001,0.006,0.008,0.0,0.0,830.0,1252.0,1.01
0.007,0.001,0.006,0.008,0.0,0.0,1255.0,2127.0,1.0
0.004,0.001,0.003,0.005,0.0,0.0,1111.0,2069.0,1.0
-0.004,0.001,-0.005,-0.003,0.0,0.0,1039.0,1945.0,1.0
-0.003,0.001,-0.004,-0.002,0.0,0.0,1254.0,1923.0,1.0
0.0,0.0,-0.0,0.001,0.0,0.0,1669.0,2210.0,1.0
0.0,0.0,-0.001,0.001,0.0,0.0,1167.0,1879.0,1.0
0.135,0.029,0.079,0.188,0.002,0.001,300.0,683.0,1.01
0.955,0.086,0.798,1.123,0.004,0.002,581.0,1322.0,1.0
-1.041,0.063,-1.158,-0.927,0.003,0.001,473.0,933.0,1.01
1.173,0.068,1.043,1.299,0.003,0.001,585.0,1103.0,1.01
0.453,0.097,0.276,0.637,0.004,0.002,497.0,1222.0,1.01
1.243,0.065,1.127,1.37,0.003,0.001,498.0,1213.0,1.01
0.806,0.099,0.632,1.005,0.003,0.002,817.0,1733.0,1.0
1.246,0.062,1.134,1.364,0.003,0.001,453.0,1043.0,1.01
-0.432,0.073,-0.565,-0.291,0.003,0.001,582.0,1185.0,1.0
0.133,0.029,0.082,0.19,0.002,0.001,284.0,874.0,1.01
-0.008,0.002,-0.011,-0.004,0.0,0.0,284.0,609.0,1.01
0.014,0.001,0.011,0.016,0.0,0.0,397.0,1133.0,1.01
0.004,0.001,0.003,0.006,0.0,0.0,1259.0,2244.0,1.0
-0.012,0.001,-0.014,-0.011,0.0,0.0,427.0,985.0,1.01
-0.003,0.001,-0.004,-0.001,0.0,0.0,1031.0,2103.0,1.0
0.007,0.001,0.006,0.008,0.0,0.0,830.0,1252.0,1.01
0.007,0.001,0.006,0.008,0.0,0.0,1255.0,2127.0,1.0
0.004,0.001,0.003,0.005,0.0,0.0,1111.0,2069.0,1.0
-0.004,0.001,-0.005,-0.003,0.0,0.0,1039.0,1945.0,1.0
-0.003,0.001,-0.004,-0.002,0.0,0.0,1254.0,1923.0,1.0
0.0,0.0,-0.0,0.001,0.0,0.0,1669.0,2210.0,1.0
0.0,0.0,-0.001,0.001,0.0,0.0,1167.0,1879.0,1.0
-0.008,0.002,-0.011,-0.004,0.0,0.0,284.0,609.0,1.01
0.014,0.001,0.011,0.016,0.0,0.0,397.0,1133.0,1.01
0.004,0.001,0.003,0.006,0.0,0.0,1259.0,2244.0,1.0
-0.012,0.001,-0.014,-0.011,0.0,0.0,427.0,985.0,1.01
-0.003,0.001,-0.004,-0.001,0.0,0.0,1031.0,2103.0,1.0
0.007,0.001,0.006,0.008,0.0,0.0,830.0,1252.0,1.01
0.007,0.001,0.006,0.008,0.0,0.0,1255.0,2127.0,1.0
0.004,0.001,0.003,0.005,0.0,0.0,1111.0,2069.0,1.0
-0.004,0.001,-0.005,-0.003,0.0,0.0,1039.0,1945.0,1.0
-0.003,0.001,-0.004,-0.002,0.0,0.0,1254.0,1923.0,1.0
0.0,0.0,-0.0,0.001,0.0,0.0,1669.0,2210.0,1.0
0.0,0.0,-0.001,0.001,0.0,0.0,1167.0,1879.0,1.0
-0.008,0.002,-0.011,-0.004,0.0,0.0,284.0,609.0,1.01
0.014,0.001,0.011,0.016,0.0,0.0,397.0,1133.0,1.01
0.004,0.001,0.003,0.006,0.0,0.0,1259.0,2244.0,1.0
-0.012,0.001,-0.014,-0.011,0.0,0.0,428.0,985.0,1.01
-0.003,0.001,-0.004,-0.001,0.0,0.0,1031.0,2103.0,1.0
0.007,0.001,0.006,0.008,0.0,0.0,830.0,1252.0,1.01
0.007,0.001,0.006,0.008,0.0,0.0,1255.0,2127.0,1.0
0.004,0.001,0.003,0.005,0.0,0.0,1111.0,2069.0,1.0
-0.004,0.001,-0.005,-0.003,0.0,0.0,1039.0,1945.0,1.0
-0.003,0.001,-0.004,-0.002,0.0,0.0,1254.0,1923.0,1.0
0.0,0.0,-0.0,0.001,0.0,0.0,1669.0,2210.0,1.0
0.0,0.0,-0.001,0.001,0.0,0.0,1167.0,1879.0,1.0
-0.008,0.002,-0.011,-0.004,0.0,0.0,284.0,609.0,1.01
0.014,0.001,0.011,0.016,0.0,0.0,397.0,1133.0,1.01
0.004,0.001,0.003,0.006,0.0,0.0,1259.0,2244.0,1.0
-0.012,0.001,-0.014,-0.011,0.0,0.0,427.0,988.0,1.01
-0.003,0.001,-0.004,-0.001,0.0,0.0,1031.0,2103.0,1.0
0.007,0.001,0.006,0.008,0.0,0.0,830.0,1252.0,1.01
0.007,0.001,0.006,0.008,0.0,0.0,1255.0,2127.0,1.0
0.004,0.001,0.003,0.005,0.0,0.0,1111.0,2069.0,1.0
-0.004,0.001,-0.005,-0.003,0.0,0.0,1039.0,1945.0,1.0
-0.003,0.001,-0.004,-0.002,0.0,0.0,1254.0,1923.0,1.0
0.0,0.0,-0.0,0.001,0.0,0.0,1669.0,2210.0,1.0
0.0,0.0,-0.001,0.001,0.0,0.0,1167.0,1879.0,1.0
-0.008,0.002,-0.011,-0.004,0.0,0.0,284.0,609.0,1.01
0.014,0.001,0.011,0.016,0.0,0.0,397.0,1133.0,1.01
0.004,0.001,0.003,0.006,0.0,0.0,1259.0,2244.0,1.0
-0.012,0.001,-0.014,-0.011,0.0,0.0,427.0,985.0,1.01
-0.003,0.001,-0.004,-0.001,0.0,0.0,1031.0,2103.0,1.0
0.007,0.001,0.006,0.008,0.0,0.0,830.0,1252.0,1.01
0.007,0.001,0.006,0.008,0.0,0.0,1255.0,2127.0,1.0
0.004,0.001,0.003,0.005,0.0,0.0,1111.0,2069.0,1.0
-0.004,0.001,-0.005,-0.003,0.0,0.0,1039.0,1945.0,1.0
-0.003,0.001,-0.004,-0.002,0.0,0.0,1254.0,1923.0,1.0
0.0,0.0,-0.0,0.001,0.0,0.0,1669.0,2210.0,1.0
0.0,0.0,-0.001,0.001,0.0,0.0,1167.0,1879.0,1.0
-0.008,0.002,-0.011,-0.004,0.0,0.0,284.0,609.0,1.01
0.014,0.001,0.011,0.016,0.0,0.0,397.0,1133.0,1.01
0.004,0.001,0.003,0.006,0.0,0.0,1259.0,2244.0,1.0
-0.012,0.001,-0.014,-0.011,0.0,0.0,427.0,988.0,1.01
-0.003,0.001,-0.004,-0.001,0.0,0.0,1031.0,2103.0,1.0
0.007,0.001,0.006,0.008,0.0,0.0,830.0,1252.0,1.01
0.007,0.001,0.006,0.008,0.0,0.0,1255.0,2127.0,1.0
0.004,0.001,0.003,0.005,0.0,0.0,1111.0,2069.0,1.0
-0.004,0.001,-0.005,-0.003,0.0,0.0,1039.0,1945.0,1.0
-0.003,0.001,-0.004,-0.002,0.0,0.0,1254.0,1923.0,1.0
0.0,0.0,-0.0,0.001,0.0,0.0,1669.0,2210.0,1.0
0.0,0.0,-0.001,0.001,0.0,0.0,1167.0,1879.0,1.0
-0.008,0.002,-0.011,-0.004,0.0,0.0,284.0,609.0,1.01
0.014,0.001,0.011,0.016,0.0,0.0,397.0,1133.0,1.01
0.004,0.001,0.003,0.006,0.0,0.0,1259.0,2244.0,1.0
-0.012,0.001,-0.014,-0.011,0.0,0.0,427.0,985.0,1.01
-0.003,0.001,-0.004,-0.001,0.0,0.0,1031.0,2103.0,1.0
0.007,0.001,0.006,0.008,0.0,0.0,830.0,1252.0,1.01
0.007,0.001,0.006,0.008,0.0,0.0,1255.0,2127.0,1.0
0.004,0.001,0.003,0.005,0.0,0.0,1111.0,2069.0,1.0
-0.004,0.001,-0.005,-0.003,0.0,0.0,1039.0,1945.0,1.0
-0.003,0.001,-0.004,-0.002,0.0,0.0,1254.0,1923.0,1.0
0.0,0.0,-0.0,0.001,0.0,0.0,1669.0,2210.0,1.0
0.0,0.0,-0.001,0.001,0.0,0.0,1167.0,1879.0,1.0
-0.008,0.002,-0.011,-0.004,0.0,0.0,284.0,609.0,1.01
0.014,0.001,0.011,0.016,0.0,0.0,397.0,1133.0,1.01
0.004,0.001,0.003,0.006,0.0,0.0,1259.0,2244.0,1.0
-0.012,0.001,-0.014,-0.011,0.0,0.0,427.0,985.0,1.01
-0.003,0.001,-0.004,-0.001,0.0,0.0,1031.0,2103.0,1.0
0.007,0.001,0.006,0.008,0.0,0.0,830.0,1252.0,1.01
0.007,0.001,0.006,0.008,0.0,0.0,1255.0,2127.0,1.0
0.004,0.001,0.003,0.005,0.0,0.0,1111.0,2069.0,1.0
-0.004,0.001,-0.005,-0.003,0.0,0.0,1039.0,1945.0,1.0
-0.003,0.001,-0.004,-0.002,0.0,0.0,1254.0,1923.0,1.0
0.0,0.0,-0.0,0.001,0.0,0.0,1669.0,2210.0,1.0
0.0,0.0,-0.001,0.001,0.0,0.0,1167.0,1879.0,1.0
-0.008,0.002,-0.011,-0.004,0.0,0.0,284.0,609.0,1.01
0.014,0.001,0.011,0.016,0.0,0.0,397.0,1133.0,1.01
0.004,0.001,0.003,0.006,0.0,0.0,1259.0,2244.0,1.0
-0.012,0.001,-0.014,-0.011,0.0,0.0,428.0,988.0,1.01
-0.003,0.001,-0.004,-0.001,0.0,0.0,1031.0,2103.0,1.0
0.007,0.001,0.006,0.008,0.0,0.0,830.0,1252.0,1.01
0.007,0.001,0.006,0.008,0.0,0.0,1255.0,2127.0,1.0
0.004,0.001,0.003,0.005,0.0,0.0,1111.0,2069.0,1.0
-0.004,0.001,-0.005,-0.003,0.0,0.0,1039.0,1945.0,1.0
-0.003,0.001,-0.004,-0.002,0.0,0.0,1254.0,1923.0,1.0
0.0,0.0,-0.0,0.001,0.0,0.0,1669.0,2210.0,1.0
0.0,0.0,-0.001,0.001,0.0,0.0,1167.0,1879.0,1.0
-0.008,0.002,-0.011,-0.004,0.0,0.0,284.0,609.0,1.01
0.014,0.001,0.011,0.016,0.0,0.0,397.0,1133.0,1.01
0.004,0.001,0.003,0.006,0.0,0.0,1259.0,2244.0,1.0
-0.012,0.001,-0.014,-0.011,0.0,0.0,427.0,985.0,1.01
-0.003,0.001,-0.004,-0.001,0.0,0.0,1031.0,2103.0,1.0
0.007,0.001,0.006,0.008,0.0,0.0,830.0,1252.0,1.01
0.007,0.001,0.006,0.008,0.0,0.0,1255.0,2127.0,1.0
0.004,0.001,0.003,0.005,0.0,0.0,1111.0,2069.0,1.0
-0.004,0.001,-0.005,-0.003,0.0,0.0,1039.0,1945.0,1.0
-0.003,0.001,-0.004,-0.002,0.0,0.0,1255.0,1923.0,1.0
0.0,0.0,-0.0,0.001,0.0,0.0,1669.0,2210.0,1.0
0.0,0.0,-0.001,0.001,0.0,0.0,1167.0,1879.0,1.0
-0.0,0.001,-0.002,0.001,0.0,0.0,1647.0,2133.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,1925.0,2683.0,1.0
-0.0,0.001,-0.001,0.001,0.0,0.0,1273.0,2220.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,1872.0,2434.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,2052.0,2122.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,1306.0,2140.0,1.0
-0.0,0.001,-0.002,0.001,0.0,0.0,1805.0,2614.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,1634.0,2713.0,1.0
-0.0,0.001,-0.001,0.001,0.0,0.0,1548.0,1928.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,1747.0,2573.0,1.0
0.0,0.001,-0.001,0.001,0.0,0.0,2033.0,2468.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,1755.0,2733.0,1.0
-0.0,0.001,-0.002,0.001,0.0,0.0,1459.0,1949.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,1453.0,1829.0,1.0
-0.0,0.001,-0.001,0.001,0.0,0.0,1795.0,2486.0,1.0
-0.0,0.001,-0.001,0.001,0.0,0.0,1872.0,2162.0,1.0
0.0,0.001,-0.001,0.001,0.0,0.0,1886.0,2453.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,1334.0,2453.0,1.0
-0.0,0.001,-0.002,0.001,0.0,0.0,1633.0,2133.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,1859.0,2139.0,1.0
-0.0,0.001,-0.001,0.001,0.0,0.0,1434.0,1808.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,1533.0,2430.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,1699.0,1819.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,1527.0,2129.0,1.0
-0.0,0.001,-0.001,0.001,0.0,0.0,1863.0,2400.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,2242.0,2540.0,1.0
-0.0,0.001,-0.001,0.001,0.0,0.0,1673.0,2500.0,1.0
0.0,0.001,-0.001,0.001,0.0,0.0,1880.0,2274.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,1916.0,2539.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,1803.0,2885.0,1.0
-0.0,0.001,-0.002,0.001,0.0,0.0,1234.0,1766.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,1708.0,2677.0,1.0
-0.0,0.001,-0.001,0.001,0.0,0.0,1600.0,2493.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,1564.0,1993.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,1500.0,1469.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,1354.0,2299.0,1.0
-0.0,0.001,-0.002,0.001,0.0,0.0,1679.0,2468.0,1.0
0.001,0.001,-0.001,0.002,0.0,0.0,1411.0,1999.0,1.01
-0.0,0.001,-0.001,0.001,0.0,0.0,1817.0,2580.0,1.0
-0.0,0.001,-0.001,0.001,0.0,0.0,1965.0,2407.0,1.0
0.0,0.001,-0.001,0.001,0.0,0.0,2348.0,3080.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,1915.0,2396.0,1.0
-0.0,0.001,-0.002,0.001,0.0,0.0,1542.0,1959.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,1802.0,2491.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,1611.0,2369.0,1.0
0.0,0.001,-0.001,0.001,0.0,0.0,1688.0,1939.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,2025.0,2319.0,1.0
0.0,0.001,-0.001,0.002,0.0,0.0,1342.0,2307.0,1.0
-0.0,0.001,-0.001,0.001,0.0,0.0,2048.0,2686.0,1.0
0.0,0.001,-0.001,0.001,0.0,0.0,2692.0,2821.0,1.0
-0.0,0.001,-0.001,0.001,0.0,0.0,2099.0,2319.0,1.0
0.0,0.001,-0.001,0.001,0.0,0.0,2585.0,3069.0,1.0
0.0,0.001,-0.001,0.001,0.0,0.0,2482.0,3181.0,1.0
0.0,0.001,-0.001,0.001,0.0,0.0,2276.0,2547.0,1.0
